aX,aY,aZ,rX,rY,rZ
1.58,2.06,7.71,0.61,0.31,0.26
0.66,2.05,7.91,0.37,0.79,1.96
-3.71,-0.35,13.27,0.41,1.41,1.3
-5.63,-0.81,17.72,-2.37,1.2,-1.42
-2.0,1.13,11.6,-5.37,-1.16,-2.51
-0.07,-1.0,4.97,-3.61,1.29,-0.54
0.02,-3.53,1.07,-0.43,0.33,-0.21
-2.14,-2.28,-1.52,1.8,0.33,0.38
-3.45,-1.66,3.03,6.79,0.32,-1.21
-2.62,4.38,24.15,4.42,0.47,-0.52
-1.33,2.76,14.72,0.28,-0.13,-0.02
-1.84,2.97,8.99,-0.2,-0.34,0.28
-1.93,3.01,9.02,-0.36,-0.44,0.18
-1.5,2.84,8.81,0.05,-0.16,0.18
-0.97,3.14,9.26,-0.18,0.18,-0.04
