aX,aY,aZ,rX,rY,rZ
-1.29,1.12,8.37,1.25,0.45,-0.29
-1.28,0.55,6.93,0.73,0.27,0.35
-4.65,2.81,14.33,0.28,2.58,2.94
-11.62,-0.04,16.69,-3.85,3.65,-3.11
-4.92,2.44,2.82,-4.49,2.17,-5.39
-2.04,-0.02,-2.77,-1.29,2.81,-2.37
0.5,-0.32,-0.13,5.92,0.86,-0.5
4.23,0.88,19.02,5.35,-0.85,4.33
-5.65,-5.15,13.46,-3.27,-1.31,3.15
-5.81,-2.66,2.57,-1.64,0.18,0.53
-4.05,-0.67,-1.06,2.08,-0.12,-1.37
-0.1,2.68,13.86,7.55,-1.04,-3.32
3.74,3.27,11.91,-0.31,-1.55,0.46
1.62,3.01,10.23,-0.9,0.22,1.3
-0.92,1.98,9.42,-0.36,-0.41,2.05
-1.24,0.07,9.33,-0.69,-0.97,1.38
-0.74,0.8,9.21,-0.48,0.74,0.0
